two_words_yn,,
"In this test you will see pairs of words. For each pair of words, you must decide whether the words are related to each other. That is, you must decide whether the second word <b>comes from</b> the first word.<p>If you think that the second word comes from the first word, you should answer <b>Yes</b>, and so you should press the <b>left arrow</b> If you think the words are not related, then you should answer <b>No</b>, and so you should press the <b>right arrow</b>.<p>Please press any key to continue.",,
Power,Powerless,yes
Talk,Talkative,yes
Time,Timely,yes
Mouth,Mouthful,yes
Approach,Approachable,yes
Clear,Clearance,yes
Think,Thinkable,yes
Mother,Motherly,yes
Account,Accountant,yes
Additional,Additionally,yes
Bank,Banker,yes
Boy,Boyish,yes
Spirit,Spiritless,yes
Character,Characterize,yes
Civil,Civility,yes
Single,Singular,yes
Legal,Legality,yes
Response,Responsibility,yes
Final,Finality,yes
Material,Materialistic,yes
Concept,Conceptual,yes
Respect,Respectability,yes
Moral,Morally,yes
Local,Locality,yes
Progress,Progression,yes
Separate,Separatist,yes
Editor,Editorialize,yes
Special,Speciality,yes
Hospital,Hospitality,yes
Except,Exceptionable,yes
Effect,Effectual,yes
Event,Eventual,yes
Process,Procession,yes
Specific,Specify,yes
Justice,Justly,yes
Except,Exceptionally,yes
Defense,Defender,yes
Human,Humane,yes
Able,Ably,yes
Sense,Sensor,yes
Solid,Solidify,yes
Simple,Simplistic,yes
Technical,Technicality,yes
South,Southerner,yes
Design,Designable,yes
Campaign,Campaigned,yes
Knowledge,Acknowledge,yes
Sight,Sightless,yes
Light,Lighten,yes
Trip,Triple,no
Past,Pasta,no
Bar,Barb,no
Mark,Marketed,no
Men,Menace,no
Add,Addict,no
Arm,Armada,no
Sort,Sortie,no
End,Endure,no
Part,Partake,no
Cause,Caustic,no
Sat,Satin,no
See,Seedy,no
Can,Canape,no
Gun,Gunge,no
Sea,Sealer,no
Call,Callous,no
Line,Linen,no
Bar,Barrage,no
Rest,Restate,no
General,Generosity,no
Size,Sizzle,no
Come,Comedian,no
Bed,Bedaub,no
Care,Careen,no
Heat,Heathen,no
Fact,Faction,no
Act,Actuality,no
Heart,Hearth,no
Strange,Strangle,no
Men,Mend,no
Scene,Scent,no
Secret,Secretarial,no
Base,Basin,no
Wall,Wallop,no
Sir,Siren,no
Kind,Kindle,no
Drive,Drivel,no
Son,Sonar,no
Cut,Cute,no
Write,Writhe,no
Though,Thoughtful,no
List,Listener,no
Sign,Signor,no
Big,Bight,no
