paragraph_two_words,,,,
"Here is an example that is useful for the Discourse test. The user sees blocks of texts, as many as needed, and then sees questions, as many as needed. Two word, Yes-No and True-False questions can be mixed freely. Reaction times are recorded for everything. Note that the categories are non-continuous. This is just to show that this is possible, and not because it is necessary.",,,,
Paragraph type,Question type,,,
Easy,,"Once upon a time there was a dear little chicken named Chicken Little. One morning as she was scratching in her garden, a pebble fell off the roof and hit her on the head.<p>""<i>Oh, dear me!</i>"" she cried, ""<i>the sky is falling. I must go and tell the King</i>,"" and away she ran down the road.",,
Easy,,"By and by she met Henny Penny going to the store. ""Where are you going?"" asked Henny Penny.<br>I'm going to tell the King the sky is falling, answered Chicken Little.<br>How do you know the sky is falling? asked Henny Penny.<br>Because a piece of it fell on my head, she replied. ""May I go with you?"" begged Henny Penny. ""Certainly,"" answered Chicken Little, and she hastened on, followed by Henny Penny. Turning up a shady lane they met Cocky Locky.",,
Easy,,"Where are you two going? asked Cocky Locky.<br>Oh, we are going to tell the King the sky is falling, answered Henny Penny.<br>How do you know?<br>Chicken Little told me, said Henny Penny.",,
,Easy,Is Chicken Little a nice chicken?,yes,
,Easy,Do you like to eat chicken?,yes,
,Easy,What goes well with chicken?,Mashed potatoes,Gravy
Hard,,"<b>Topology</b> (Greek topos, place and logos, study) is a branch of mathematics, which is an extension of geometry. Topology begins with a consideration of the nature of space, investigating both its fine structure and its global structure. Topology builds on set theory, considering both sets of points and families of sets.<p>The word <i>topology</i> is used both for the area of study, and for a family of sets with certain properties described below. Of particular importance in the study of topology are functions or maps that are continuous. These functions stretch space without tearing it apart or sticking distinct parts together.",,
Hard,,"When the discipline was first properly founded, toward the end of the 19th century, it was called geometria situs (Latin geometry of place) and analysis situs (Latin analysis of place). From around 1925 to 1975 it was the most important growth area within mathematics.<p>Topology is a large branch of mathematics which includes many subfields. The most basic division within topology is into point-set topology, which investigates such concepts as compactness, connectedness, and countability, and algebraic topology, which investigates such concepts as homotopy, homology, and knot theory.",,
,Hard,Every continuous image of a compact space is compact.,TRUE,
,Nasty,"On a paracompact Hausdorff space, is it true that every open cover admits a partition of unity subordinate to the cover?",yes,
